Annee,Dixieme,Observations,Menages_M,Ratio_agregats,Ratio_harmonise,P10,P25,P50,P75,P90,Facture_EUR2020,Revenu_EUR2020,Part_sup_8pct,Part_sup_8pct_harmonise
2002,7,3223,2.4513,3.6518,3.6729,1.1533,2.0659,3.3003,4.8559,6.5978,1338.8094,36661.3781,5.0752,5.172
2002,8,3188,2.4518,3.2364,3.2551,0.9823,1.7929,2.9417,4.2328,5.8469,1380.4202,42653.0544,3.1787,3.209
2002,9,3183,2.4394,2.7894,2.8055,0.8311,1.5777,2.5847,3.7109,4.9715,1436.8364,51510.695,1.3818,1.414
2002,10,3135,2.4639,1.7704,1.7806,0.4773,0.8837,1.7196,2.7046,3.7428,1600.9609,90429.069,0.6157,0.6157
2002,Ensemble,32145,24.5166,3.6681,3.6892,1.087,2.1692,3.7721,6.2895,10.3664,1292.1797,35227.6552,16.6976,16.8788
2006,1,5349,2.6337,11.287,11.1136,3.3146,5.7136,9.9804,17.3652,33.3143,1098.8796,9735.8119,60.9292,60.1876
2006,2,4390,2.6338,7.4592,7.3446,2.4102,3.8798,6.6296,10.3499,15.0427,1247.8777,16729.3334,39.2698,38.3611
2006,3,3738,2.6344,6.7239,6.6206,2.062,3.4753,5.7432,9.1817,13.8379,1319.6051,19625.6396,30.7093,29.8667
2006,4,3709,2.6336,5.4483,5.3646,1.7536,2.7918,4.6923,7.2411,10.6245,1343.0683,24651.2066,19.1357,18.7397
2006,5,3545,2.6307,4.7572,4.6841,1.5605,2.671,4.2172,6.359,9.5511,1380.1604,29012.2478,14.9487,14.4756
2006,6,3296,2.6376,4.1393,4.0757,1.3098,2.3011,3.6984,5.3806,7.6279,1355.0886,32736.9033,8.5936,8.2435
2006,7,3299,2.634,3.8454,3.7864,1.2074,2.2068,3.3954,4.9289,7.196,1469.5855,38216.5264,7.3087,6.7533
2006,8,3285,2.6338,3.4233,3.3707,1.0741,1.8752,3.046,4.4018,6.2438,1505.3821,43974.9308,4.8647,4.6163
2006,9,3298,2.6352,3.003,2.9569,0.8772,1.6118,2.6449,3.7926,5.4711,1586.7534,52838.5652,3.2347,3.0592
2006,10,3219,2.633,2.0001,1.9694,0.5475,1.0193,1.8635,2.8481,4.0736,1767.0192,88345.2365,1.6914,1.6521
2006,Ensemble,37128,26.3399,3.9547,3.894,1.277,2.2707,3.9177,6.7811,11.5222,1407.3361,35586.128,19.0673,18.5942
2020,1,3645,2.9415,9.7135,11.327,3.6442,5.782,9.533,17.2395,102.0608,990.1127,10193.121,58.0159,66.6671
2020,2,4387,2.9413,6.1473,7.1684,2.4818,3.8105,5.6985,8.286,11.9593,1191.3648,19380.1659,27.071,37.2086
2020,3,4027,2.9415,5.2676,6.1426,2.0666,3.2635,4.8664,7.1004,9.8472,1288.2275,24455.5328,18.359,26.9876
2020,4,3639,2.9425,4.5574,5.3144,1.8792,2.943,4.2194,5.8988,8.1972,1317.8782,28917.3927,10.5719,16.4903
2020,5,3539,2.9407,4.0982,4.7789,1.7823,2.697,3.8272,5.3096,7.3539,1378.77,33643.2204,7.0831,12.5003
2020,6,3482,2.9422,3.7234,4.3419,1.7169,2.4938,3.5221,4.8622,6.5773,1429.6516,38396.2047,4.6833,8.6405
2020,7,3461,2.9414,3.3617,3.9201,1.3983,2.2067,3.1469,4.3737,5.8527,1475.9745,43905.6207,3.2155,6.1337
2020,8,3496,2.9418,2.9961,3.4938,1.2198,1.9193,2.8211,3.9136,5.3258,1501.6308,50118.6942,1.8083,3.8305
2020,9,3598,2.9416,2.5931,3.0238,1.0072,1.6536,2.4823,3.4028,4.5801,1583.1225,61051.9952,0.6838,1.4717
2020,10,3806,2.9414,1.5951,1.86,0.556,1.0157,1.6572,2.4097,3.2977,1801.5513,112946.3525,0.2693,0.4293
2020,Ensemble,37080,29.416,3.2998,3.8479,1.3788,2.2557,3.6084,5.7362,9.2033,1395.8278,42300.4491,13.1758,18.0356
